Date,Open,High,Low,Close,Volume
2013-09-25,169.64,169.98,168.89,169.04,117306500
2013-09-26,169.32,170.17,169.05,169.69,77146900
2013-09-27,168.84,169.14,168.47,168.91,99141800
2013-09-30,167.48,168.54,167.15,168.01,143937000
2013-10-01,168.14,169.5,167.97,169.34,127160000
2013-10-02,168.35,169.34,167.83,169.18,113350000
2013-10-03,168.79,168.94,166.84,167.62,176698000
2013-10-04,167.75,169.06,167.53,168.89,96878000
2013-10-07,167.42,168.45,167.25,167.43,96295000
2013-10-08,167.4,167.62,165.36,165.48,178015000
2013-10-09,165.8,166.2,164.53,165.6,168973000
2013-10-10,167.29,169.26,167.23,169.17,195955000
2013-10-11,168.91,170.32,168.77,170.26,105040000
2013-10-14,169.21,171.08,169.08,170.94,112106000
2013-10-15,170.51,171.15,169.47,169.7,155485000
2013-10-16,170.72,172.16,170.64,172.07,161676000
2013-10-17,171.37,173.32,171.34,173.22,129389000
2013-10-18,173.86,174.51,173.51,174.39,138316000
2013-10-21,174.45,174.75,174.01,174.4,104104000
2013-10-22,174.91,175.93,174.43,175.41,126663000
2013-10-23,174.81,174.89,173.96,174.57,105484000
2013-10-24,174.92,175.37,174.51,175.15,70350000
2013-10-25,175.51,176.0,175.17,175.95,93625000
2013-10-28,175.89,176.47,175.7,176.23,84979000
2013-10-29,176.63,177.24,176.38,177.17,87401000
2013-10-30,177.38,177.51,175.66,176.29,140002000
2013-10-31,176.15,176.89,175.53,175.79,133795000
2013-11-01,176.02,176.61,175.22,176.21,142805000
2013-11-04,176.69,176.9,175.98,176.83,85677000
2013-11-05,176.14,176.75,175.57,176.27,85825000
2013-11-06,177.03,177.5,176.54,177.17,87348000
2013-11-07,177.5,177.64,174.76,174.93,157000000
2013-11-08,174.87,177.31,174.85,177.29,136713000
2013-11-11,177.12,177.53,176.91,177.32,62614000
2013-11-12,176.94,177.36,176.37,176.96,83990000
2013-11-13,176.09,178.43,176.09,178.38,103844000
2013-11-14,178.54,179.42,178.25,179.27,103435000
2013-11-15,179.56,180.12,179.33,180.05,102818000
2013-11-18,180.35,180.5,179.02,179.42,104796000
