Date,Open,High,Low,Close,Volume
2013-12-18,85.25,86.22,84.05,86.14,68387200
2013-12-19,86.0,86.01,85.52,85.9,44964100
2013-12-20,85.79,86.68,85.73,86.5,40475400
2013-12-23,87.21,87.41,86.95,87.41,28181800
2013-12-24,87.43,87.51,87.27,87.45,13852500
2013-12-26,87.61,87.81,87.44,87.74,15241100
2013-12-27,87.85,87.9,87.41,87.52,15827400
2013-12-30,87.39,87.51,87.14,87.39,18983700
2013-12-31,87.55,87.96,87.52,87.96,24890500
2014-01-02,87.55,87.58,87.02,87.27,29177500
2014-01-03,87.27,87.35,86.62,86.64,35723700
2014-01-06,86.66,86.76,86.0,86.32,32073100
2014-01-07,86.72,87.25,86.56,87.12,25860600
2014-01-08,87.14,87.55,86.95,87.31,27197400
2014-01-09,87.63,87.64,86.72,87.02,23674700
2014-01-10,87.23,87.4,86.58,87.3,38008900
2014-01-13,87.18,87.48,85.68,86.01,48842300
2014-01-14,86.3,87.72,86.3,87.65,37178900
2014-01-15,88.03,88.54,87.94,88.37,39835600
2014-01-16,88.3,88.51,88.16,88.38,31630100
2014-01-17,88.11,88.37,87.67,87.88,36895800
2014-01-21,88.44,88.59,87.81,88.55,26412700
2014-01-22,88.78,89.0,88.52,88.78,29376900
2014-01-23,88.51,88.52,87.86,88.48,35011900
2014-01-24,88.05,88.18,86.71,86.74,63974600
2014-01-27,86.74,86.89,85.25,85.9,63519300
2014-01-28,85.5,85.94,85.31,85.85,44378800
2014-01-29,85.11,85.74,84.76,84.93,51939300
2014-01-30,85.97,86.8,85.88,86.5,65833600
2014-01-31,85.54,86.68,85.45,86.27,45187000
2014-02-03,86.11,86.5,84.07,84.29,65596900
2014-02-04,84.72,85.25,84.46,84.91,37675500
2014-02-05,84.63,84.99,83.74,84.69,41721800
2014-02-06,84.94,85.88,84.92,85.77,32308600
2014-02-07,86.25,87.36,86.0,87.3,38359400
2014-02-10,87.27,87.84,87.21,87.8,30205400
2014-02-11,87.99,88.97,87.89,88.8,38635500
2014-02-12,88.98,89.17,88.7,88.97,32507200
2014-02-13,88.32,89.7,88.3,89.63,40454500
2014-02-14,89.6,90.01,89.33,89.81,33212400
2014-02-18,89.96,90.42,89.74,90.25,29546600
2014-02-19,90.08,90.29,89.45,89.63,41749900
2014-02-20,89.69,90.22,89.31,90.05,41814800
2014-02-21,90.34,90.47,89.82,89.93,31192200
2014-02-24,90.14,90.82,90.04,90.41,31500400
2014-02-25,90.54,90.72,90.02,90.31,26771700
2014-02-26,90.55,90.84,89.87,90.23,42953700
2014-02-27,89.87,90.53,89.73,90.44,28742400
2014-02-28,90.42,90.96,89.54,90.34,48609800
2014-03-03,89.49,89.91,88.87,89.67,38885700
2014-03-04,90.65,90.98,90.56,90.81,33189000
2014-03-05,90.96,91.22,90.77,91.06,27203300
2014-03-06,91.27,91.34,90.65,90.98,24063900
2014-03-07,91.27,91.36,90.07,90.53,31167800
2014-03-10,90.48,90.66,90.03,90.61,18131700
