Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Capital Gains
2013-01-02,145.11000061035156,146.14999389648438,144.72999572753906,146.05999755859375,120.84693145751953,192059000,0.0,0.0,0.0
2013-01-03,145.99000549316406,146.3699951171875,145.33999633789062,145.72999572753906,120.57389068603516,144761800,0.0,0.0,0.0
2013-01-04,145.97000122070312,146.61000061035156,145.6699981689453,146.3699951171875,121.10343933105469,116817700,0.0,0.0,0.0
2013-01-07,145.85000610351562,146.11000061035156,145.42999267578125,145.97000122070312,120.77246856689453,110002500,0.0,0.0,0.0
2013-01-08,145.7100067138672,145.91000366210938,144.97999572753906,145.5500030517578,120.42500305175781,121265100,0.0,0.0,0.0
2013-01-09,145.8699951171875,146.32000732421875,145.63999938964844,145.9199981689453,120.73108673095703,90745600,0.0,0.0,0.0
2013-01-10,146.72999572753906,147.08999633789062,145.97000122070312,147.0800018310547,121.69084167480469,130735400,0.0,0.0,0.0
2013-01-11,147.0399932861328,147.14999389648438,146.61000061035156,147.07000732421875,121.68256378173828,113917300,0.0,0.0,0.0
2013-01-14,146.88999938964844,147.07000732421875,146.42999267578125,146.97000122070312,121.5998306274414,89567200,0.0,0.0,0.0
2013-01-15,146.2899932861328,147.2100067138672,146.1999969482422,147.07000732421875,121.68256378173828,93172600,0.0,0.0,0.0
2013-01-16,146.77000427246094,147.27999877929688,146.61000061035156,147.0500030517578,121.66606903076172,104849500,0.0,0.0,0.0
2013-01-17,147.6999969482422,148.4199981689453,147.14999389648438,148.0,122.4520492553711,133833500,0.0,0.0,0.0
2013-01-18,147.97000122070312,148.49000549316406,147.42999267578125,148.3300018310547,122.72514343261719,169906000,0.0,0.0,0.0
2013-01-22,148.3300018310547,149.1300048828125,147.97999572753906,149.1300048828125,123.38697814941406,111797300,0.0,0.0,0.0
2013-01-23,149.1300048828125,149.5,148.86000061035156,149.3699951171875,123.58554077148438,104596100,0.0,0.0,0.0
2013-01-24,149.14999389648438,150.13999938964844,149.00999450683594,149.41000366210938,123.61864471435547,146426400,0.0,0.0,0.0
2013-01-25,149.8800048828125,150.25,149.3699951171875,150.25,124.31363677978516,147211600,0.0,0.0,0.0
2013-01-28,150.2899932861328,150.3300018310547,149.50999450683594,150.07000732421875,124.16473388671875,113357700,0.0,0.0,0.0
2013-01-29,149.77000427246094,150.85000610351562,149.6699981689453,150.66000366210938,124.65287017822266,105694400,0.0,0.0,0.0
2013-01-30,150.63999938964844,150.94000244140625,149.92999267578125,150.07000732421875,124.16473388671875,137447700,0.0,0.0,0.0
2013-01-31,149.88999938964844,150.3800048828125,149.60000610351562,149.6999969482422,123.85860443115234,108975800,0.0,0.0,0.0
2013-02-01,150.64999389648438,151.4199981689453,150.38999938964844,151.24000549316406,125.13277435302734,131173000,0.0,0.0,0.0
2013-02-04,150.32000732421875,151.27000427246094,149.42999267578125,149.5399932861328,123.72620391845703,159073600,0.0,0.0,0.0
2013-02-05,150.35000610351562,151.47999572753906,150.2899932861328,151.0500030517578,124.97554016113281,113912400,0.0,0.0,0.0
2013-02-06,150.52000427246094,151.25999450683594,150.41000366210938,151.16000366210938,125.06658172607422,138762800,0.0,0.0,0.0
2013-02-07,151.2100067138672,151.35000610351562,149.86000061035156,150.9600067138672,124.90108489990234,162490000,0.0,0.0,0.0
2013-02-08,151.22000122070312,151.88999938964844,151.22000122070312,151.8000030517578,125.59611511230469,103133700,0.0,0.0,0.0
2013-02-11,151.74000549316406,151.89999389648438,151.38999938964844,151.77000427246094,125.57122039794922,73775000,0.0,0.0,0.0
2013-02-12,151.77999877929688,152.3000030517578,151.61000061035156,152.02000427246094,125.7780990600586,65392700,0.0,0.0,0.0
