Date,Open,High,Low,Close,Volume,rsi,awesome_oscillator,force_index,ease_of_movement,ease_of_movement_signal,bbands_upper,bbands_middle,bbands_lower,atr,macd,macd_signal,aroon,aroon_up,aroon_down
2013-11-29,19.45499992,19.70499992,19.43099976,19.68099976,48120000,79.52605164,1.12625837,10620824.09122876,0.18662375,0.067821,19.67809903,18.71215,17.74620097,0.39237241,0.49184343,0.40657757,75.0,100.0,25.0
2013-12-02,19.95000076,19.95000076,19.45499992,19.61499977,94280000,77.24942797,1.24649169,7558405.42711419,0.07061716,0.06150524,19.91402169,18.82779999,17.74157828,0.40263525,0.51497214,0.42825648,75.0,95.0,20.0
2013-12-03,19.50550079,19.54750061,19.15500069,19.2329998,74058000,65.23882201,1.26168346,1040485.57856085,-0.18615879,0.04347342,19.97079026,18.92019997,17.86960968,0.40837164,0.49010254,0.4406257,75.0,90.0,15.0
2013-12-04,19.17499924,19.48450089,19.07449913,19.29800034,47106000,66.23146472,1.24065854,1408018.22924399,-0.06245041,0.05140515,19.99244515,19.02530003,18.0581549,0.40853465,0.46883371,0.4462673,75.0,85.0,10.0
2013-12-05,19.33250046,19.33250046,19.06850052,19.22450066,38130000,63.93753365,1.13917516,642461.68177602,-0.05469674,0.05413819,19.89745713,19.13490009,18.37234306,0.39408118,0.4386073,0.4447353,75.0,80.0,5.0
2013-12-06,19.41749954,19.41749954,19.19149971,19.34749985,39694000,66.11946255,0.99249179,1413346.81215024,0.05921244,0.05146575,19.83924129,19.22505016,18.61085903,0.37727304,0.41928626,0.43964549,60.0,75.0,15.0
2013-12-09,19.40550041,19.41049957,19.12849998,19.24449921,55236000,62.59556023,0.86442502,121948.5919324,-0.01786868,0.03542129,19.74939961,19.28795013,18.82650066,0.3677457,0.3888055,0.42947749,60.0,70.0,10.0
2013-12-10,19.18700027,19.45299911,19.15099907,19.38899994,54736000,65.46466149,0.8111331,1537847.40973447,0.01793115,0.02736568,19.69215282,19.34365005,18.99514729,0.36117113,0.37202015,0.41798602,60.0,65.0,5.0
2013-12-11,19.36700058,19.4489994,19.10000038,19.10950089,49026000,56.20005006,0.76696644,-1233164.95916301,-0.01957572,0.01422033,19.68395593,19.34775009,19.01154426,0.35995392,0.32895366,0.40017955,55.0,60.0,5.0
2013-12-12,19.06299973,19.25,18.97500038,19.0625,42474000,54.75226024,0.71532472,-1371919.61929788,-0.10488736,-0.01112532,19.697995,19.32045002,18.94290504,0.35145849,0.28730777,0.3776052,30.0,55.0,25.0
2013-12-13,19.26600075,19.47100067,19.19000053,19.21199989,60500000,58.5281122,0.68034156,522019.1365568,0.10125313,-0.01966238,19.56757028,19.27355003,18.97952978,0.35716271,0.26444768,0.35497369,30.0,50.0,20.0
2013-12-16,19.25149918,19.58499908,19.25,19.44849968,45034000,63.83301824,0.66424987,2363566.81712823,0.0647168,-0.02025242,19.482614,19.25690002,19.03118605,0.35874636,0.26342227,0.33666341,30.0,45.0,15.0
2013-12-17,19.53249931,19.56800079,19.32500076,19.38249969,46878000,61.39774938,0.64110015,1371291.52588701,0.01503328,-0.00013321,19.50877703,19.27185001,19.03492299,0.34717173,0.25238749,0.31980822,30.0,40.0,10.0
2013-12-18,19.46150017,19.81500053,19.15500069,19.79800034,69782000,69.52924016,0.62954194,6393686.83411308,0.03641323,0.00975315,19.7175703,19.32185001,18.92612973,0.37845454,0.27582262,0.3110111,95.0,100.0,5.0
2013-12-19,19.71349907,19.86450005,19.62999916,19.7595005,48544000,68.05335783,0.6960585,4891391.8002651,0.12668429,0.02789126,19.84222254,19.37535,18.90847746,0.36405917,0.28506123,0.30582113,90.0,95.0,5.0
2013-12-20,19.82749939,20.23600006,19.78899956,20.11000061,100678000,73.70039115,0.74852502,10417984.15541155,0.11776851,0.03374686,20.09213737,19.45160007,18.81106278,0.37530321,0.31731041,0.30811899,95.0,100.0,5.0
2013-12-23,20.18449974,20.25,19.95999908,20.14599991,53190000,74.2204281,0.79510002,8871951.15728408,0.05043243,0.04057697,20.28572597,19.54175014,18.79777432,0.36677298,0.33880545,0.31425628,95.0,100.0,5.0
2013-12-24,20.12599945,20.18600082,19.81850052,19.95999908,27608000,66.65402273,0.82569997,6325212.6289977,-0.13677282,0.02510658,20.37415532,19.59885006,18.8235448,0.36684571,0.33274664,0.31795435,35.0,95.0,60.0
2013-12-26,20.08950043,20.22599983,19.84049988,20.21949959,37370000,71.20463257,0.85320816,6938361.93596016,0.03197801,0.03026195,20.49094637,19.70984993,18.92875349,0.36871114,0.34496727,0.32335693,45.0,100.0,55.0
2013-12-27,20.23250008,20.28149986,19.8125,19.90399933,39738000,60.121232,0.82984158,3397323.52796487,0.01622825,0.04237351,20.44916368,19.79399986,19.13883604,0.37874001,0.32072421,0.32283039,45.0,95.0,50.0
2013-12-30,19.97050095,19.99600029,19.62249947,19.6685009,49742000,53.24725903,0.73335829,649780.55511246,-0.17852085,0.01439611,20.3797558,19.83964996,19.29954412,0.37821609,0.27683491,0.31363129,45.0,90.0,45.0
2013-12-31,19.72900009,19.94149971,19.69000053,19.93950081,39930000,59.21031543,0.63035841,2499097.97132825,0.00409418,0.00833385,20.3629438,19.88875008,19.41455635,0.36769436,0.26301495,0.30350802,45.0,85.0,40.0
2014-01-02,19.94000053,19.96800041,19.70100021,19.89850044,42756000,57.96745558,0.55079165,1725987.12968405,0.01170901,0.00800142,20.27461302,19.94035015,19.60608728,0.35762495,0.2446804,0.2917425,45.0,80.0,35.0
2014-01-03,19.91449928,20.13549995,19.81100082,19.8220005,44204000,55.55010034,0.48241673,797334.32392296,0.10185567,0.01454567,20.27321332,19.94275017,19.61228701,0.35431237,0.22024781,0.27744356,45.0,75.0,30.0
2014-01-06,19.79249954,19.85000038,19.42099953,19.68149948,63412000,51.19350716,0.35227505,-967535.7037998,-0.22849812,-0.02097257,20.28542278,19.93495007,19.58447735,0.36178121,0.18618294,0.25919144,45.0,70.0,25.0
2014-01-07,19.75200081,19.92350006,19.71450043,19.9015007,38320000,57.05345188,0.30405013,741188.38368084,0.10008219,-0.02274121,20.24467942,19.91410007,19.58352073,0.34980315,0.17678987,0.24271112,45.0,65.0,20.0
2014-01-08,19.92350006,20.14999962,19.80200005,20.09600067,46330000,61.58427296,0.28757509,2244823.87503353,0.11792745,-0.0159917,20.22675849,19.90910015,19.59144181,0.34962279,0.18361508,0.23089191,45.0,60.0,15.0
2014-01-09,20.18549919,20.34449959,19.92200089,20.05050087,42060000,59.94059344,0.30202506,1488724.68742756,0.15796028,0.01348161,20.24608414,19.91815033,19.59021652,0.35691038,0.18154865,0.22102326,45.0,55.0,10.0
2014-01-10,20.12649918,20.18799973,19.69000053,19.88299942,53590000,54.04081413,0.26164166,-414025.74360619,-0.18051203,-0.0077674,20.14369324,19.88450031,19.62530739,0.37101926,0.16237297,0.2092932,45.0,50.0,5.0
2014-01-13,19.89900017,19.98900032,19.42250061,19.54899979,56898000,44.36586679,0.2601751,-3794004.91082872,-0.23223289,-0.03261351,20.17612746,19.84900036,19.52187325,0.39056731,0.11644861,0.19072429,40.0,45.0,5.0
2014-01-14,19.60650063,19.93149948,19.56450081,19.87700081,46802000,53.45787173,0.23997507,-313076.04567738,0.03313016,-0.01144841,20.17407862,19.86985035,19.56562208,0.38976055,0.10883459,0.17434635,30.0,40.0,10.0
2014-01-15,19.9470005,19.96549988,19.62649918,19.7935009,53566000,51.09591046,0.20085837,-1069381.50935171,0.03037715,-0.00882011,20.15871934,19.85525036,19.55178137,0.38468456,0.09408423,0.15829392,30.0,35.0,5.0
2014-01-16,19.68400002,19.96450043,19.47050095,19.79000092,52024000,50.99098228,0.10550013,-908054.54513808,-0.07453942,-0.01744496,20.1486656,19.84440041,19.54013522,0.39561605,0.08123293,0.14288173,-55.0,30.0,85.0
2014-01-17,19.71299934,20.17449951,19.68300056,19.98049927,90102000,56.40506163,0.08180844,2377824.92061057,0.11523477,-0.01610705,20.17454455,19.86025028,19.54595601,0.40520434,0.08680637,0.13166665,-55.0,25.0,80.0
