Date,Open,High,Low,Close,Volume,AAPL,MSFT,GOOGL,TSLA,NVDA,META,NFLX
2013-09-25,15.72649956,15.83549976,15.53750038,15.63249969,40172000,17.19750023,32.50999832,21.95270348,12.34933281,3.93000007,49.45999908,43.87714386
2013-09-26,15.69499969,15.96850014,15.66300011,15.90600014,39798000,17.36499977,32.77000046,21.97622681,12.57600021,3.91750002,50.38999939,44.78714371
2013-09-27,15.84599972,15.86050034,15.66749954,15.80049992,33150000,17.2410717,33.27000046,21.93168259,12.7266674,3.89499998,51.24000168,44.62857056
2013-09-30,15.6704998,15.76550007,15.55300045,15.63199997,32472000,17.0267868,33.27999878,21.9196701,12.89133263,3.8900001,50.22999954,44.17285538
2013-10-01,15.71100044,16.04999924,15.68249989,16.04750061,47928000,17.4271431,33.58000183,22.19719696,12.86666679,3.88750005,50.41999817,46.37428665
2013-10-02,15.90200043,16.08650017,15.8760004,16.02549934,44348000,17.48428535,33.91999817,22.22197151,12.06333256,3.88499999,50.27999878,47.24714279
2013-10-03,16.01950073,16.14599991,15.65100002,15.73799992,53496000,17.26464272,33.86000061,21.92417336,11.5539999,3.84500003,49.18000031,45.95999908
2013-10-04,15.75650024,15.96000004,15.63099957,15.95199966,36300000,17.25107193,33.88000107,21.83058167,12.06533337,3.89750004,51.04000092,46.75143051
2013-10-07,15.76200008,15.7670002,15.48700047,15.50150013,41664000,17.4196434,33.29999924,21.66516495,12.20466709,3.89750004,50.52000046,45.45142746
2013-10-08,15.57499981,15.57750034,15.01350021,15.16149998,63324000,17.17642975,33.00999832,21.3631134,11.64866734,3.86500001,47.13999939,43.18857193
2013-10-09,15.17099953,15.17500019,14.82499981,14.91149998,64948000,17.37821388,33.06999969,21.41791725,11.25199986,3.80500007,46.77000046,41.20428467
2013-10-10,15.23149967,15.33500004,15.12950039,15.2585001,51102000,17.48714256,33.75999832,21.72772789,11.52866745,3.84750009,49.04999924,43.4271431
2013-10-11,15.23849964,15.54650021,15.19200039,15.54450035,43262000,17.60035706,34.13000107,21.82157135,11.91333294,3.81500006,49.11000061,42.97857285
2013-10-14,15.46100044,15.58250046,15.35000038,15.53499985,38782000,17.7157135,34.45000076,21.92467499,11.98133278,3.87249994,49.50999832,46.33714294
2013-10-15,15.49349976,15.53950024,15.26299953,15.31999969,45222000,17.80999947,34.49000168,22.07232285,12.2626667,3.85249996,49.5,45.95571518
2013-10-16,15.41899967,15.53999996,15.27750015,15.52449989,43414000,17.89678574,34.63999939,22.47322273,12.2373333,3.9000001,51.13999939,46.12571335
2013-10-17,15.35350037,15.55000019,15.26200008,15.53849983,52968000,18.0178566,34.91999817,22.24199295,12.18666744,3.90750003,52.20999908,47.15714264
2013-10-18,15.96800041,16.59449959,15.83749962,16.44650078,119396000,18.17464256,34.95999908,25.31056023,12.2266674,3.9525001,54.22000122,47.6428566
2013-10-21,16.49449921,16.5,16.19000053,16.3220005,50446000,18.62000084,34.99000168,25.1076088,11.50666714,3.9625001,53.84999847,50.71285629
2013-10-22,16.38599968,16.85549927,16.2840004,16.62700081,78710000,18.56678581,34.58000183,25.20019913,11.43599987,3.94250011,52.68000031,46.07428741
2013-10-23,16.54199982,16.58600044,16.20299911,16.33799934,56364000,18.7485714,33.75999832,25.81106186,10.96666718,3.875,51.90000153,47.1771431
2013-10-24,16.48150063,16.63249969,16.33749962,16.61050034,117694000,18.99678612,33.72000122,25.66441345,11.54333305,3.84750009,52.45000076,47.31714249
2013-10-25,17.93000031,18.42000008,17.63100052,18.16950035,240736000,18.7842865,35.72999954,25.40540504,11.31066704,3.80999994,51.95000076,46.86142731
2013-10-28,17.99600029,18.13750076,17.86000061,17.90800095,72716000,18.92428589,35.56999969,25.40040016,10.85733318,3.80250001,50.22999954,44.8571434
2013-10-29,17.94799995,18.14450073,17.81450081,18.13500023,43708000,18.45285606,35.52000046,25.93193245,10.96466732,3.80749989,49.40000153,46.75714111
2013-10-30,18.13100052,18.25,17.93250084,18.05400085,90044000,18.74642944,35.54000092,25.7862854,10.61466694,3.80500007,49.00999832,45.44857025
2013-10-31,18.08650017,18.29999924,17.95000076,18.20149994,49336000,18.66785622,35.40999985,25.79029083,10.66266727,3.7974999,50.20999908,46.06856918
