Date,Open,High,Low,Close,Volume,rsi,stoch_rsi,stoch_rsi_d,stoch_rsi_k,stoch_osc,awesome_osc,force_index,ease_move,ease_move_signal,obv,adi,bbands_upper,bbands_middle,bbands_lower,atr,macd,macd_signal,aroon,aroon_up,aroon_down,adx,adx_neg,adx_pos,ema_50,ema_200,sma_50,sma_200
2014-08-11,95.26999664,95.76000214,95.19999695,95.45999908,28277500,52.81534241,0.36415365,0.08689489,0.1910346,43.37012441,-0.44826451,-2218164.29686202,1.96058329,-0.22642627,416379400,988392774.4061267,97.66834626,95.74449997,93.82065368,1.02004518,0.14312872,0.42079647,-44.0,48.0,92.0,22.73078891,24.46829289,17.84279106,94.05013646,89.09250522,94.32520004,88.79845005
2014-08-12,95.36000061,95.66999817,94.93000031,95.41999817,28152300,52.50688583,0.36720803,0.19137398,0.31343728,42.26512758,-0.39191176,-2062157.65076751,-0.47314017,-0.33054578,388227100,997523195.1694808,97.66643845,95.73999977,93.81356109,1.0000418,0.14574469,0.36578611,-44.0,44.0,88.0,22.50225514,25.10349347,16.89971424,94.10385652,89.15546535,94.40919998,88.86400005
2014-08-13,95.80999756,96.47000122,95.76000214,96.43000031,27996500,59.01552696,0.72546945,0.33002742,0.48561038,74.05249824,-0.16455841,2271939.84319589,2.06686903,-0.21202556,416223600,1022365083.6888391,97.71609452,95.76699982,93.81790512,1.00361046,0.22670329,0.33796955,-44.0,40.0,84.0,21.19904205,23.22749918,21.3305422,94.19507785,89.22784879,94.51419998,88.93165005
2014-08-14,96.55999756,96.94999695,96.43000031,96.93000031,25006600,61.80605621,0.85732213,0.48301584,0.64999987,88.62975642,0.161618,3733562.72273934,1.19567027,-0.02035782,441230200,1045448409.5247767,97.81976654,95.88249969,93.94523285,0.96906662,0.32743493,0.33586262,-44.0,36.0,80.0,19.94870545,22.33723003,24.05096277,94.30232971,89.30448711,94.62240005,89.00170006
2014-08-15,97.48999786,97.62999725,96.48000336,97.40000153,55205500,64.26884911,0.97368924,0.66259017,0.85216027,93.8503781,0.56947064,6906861.24656606,0.76034037,0.04232341,496435700,1078572002.5242724,97.99244677,95.94649963,93.9005525,0.98198999,0.44011725,0.35671355,24.0,100.0,76.0,19.50468681,20.46874442,26.98535187,94.42380704,89.38503949,94.72460007,89.07340008
2014-08-18,97.91000366,98.23999786,97.76999664,98.15000153,38938300,67.83325731,1.0,0.81527687,0.94367046,97.93111794,0.95388199,10092127.49705662,1.14668521,0.06311567,535374000,1102598407.621344,98.31457182,96.05399971,93.7934276,0.97184759,0.58321459,0.40201376,28.0,100.0,72.0,19.65609773,19.20504903,29.8027002,94.56993231,89.47225304,94.8312001,89.14925007
2014-08-19,98.37999725,98.76000214,98.31999969,98.69999695,21363400,70.18233087,1.0,0.92902016,0.99122975,98.76786131,1.48879406,10328933.88406506,1.10189819,0.12727332,556737400,1118134954.3476584,98.68929749,96.15849953,93.62770157,0.94600138,0.73255586,0.46812218,32.0,100.0,68.0,20.23043418,18.3204919,32.35636321,94.73189563,89.56407139,94.95020004,89.22880005
2014-08-20,98.62000275,98.90000153,98.52999878,98.69999695,23435600,70.18233087,1.0,0.97830007,1.0,96.00789436,1.90173495,8853371.9006272,0.27628991,0.42831055,580173000,1116234378.7491677,98.96065221,96.23199921,93.5033462,0.90485862,0.84121291,0.54274032,32.0,96.0,64.0,20.87721186,17.78539391,32.51645102,94.88750745,89.65497612,95.06599991,89.30825005
2014-08-21,98.75,98.94999695,98.59999847,98.90000153,19339500,71.07325222,1.0,0.99707658,1.0,99.0119477,2.2202054,8141174.27613836,0.10858116,0.57678603,599512500,1130048789.1142902,99.26714926,96.32099915,93.37484903,0.86522575,0.93271138,0.62073453,40.0,100.0,60.0,21.52011153,17.27150154,31.98965489,95.04486015,89.74696643,95.18619995,89.38810005
2014-08-22,98.94000244,99.25,98.72000122,99.05000305,24692000,71.75488344,1.0,1.0,1.0,96.26871408,2.50282312,7507269.0476903,0.45075847,0.50461391,624204500,1136105558.8499959,99.61153007,96.4364994,93.26146874,0.84128097,1.00573497,0.69773462,44.0,100.0,56.0,22.37435194,16.49429604,33.09730482,95.20192458,89.83953395,95.32619995,89.46825008
2014-08-25,99.51999664,99.68000031,99.16000366,99.40000153,24124700,73.33382393,1.0,1.0,1.0,95.16409784,2.64361821,7641031.78211014,0.93762515,0.63552064,648329200,1134249758.2411075,99.99522526,96.56799965,93.14077404,0.82618927,1.07940592,0.77406888,48.0,100.0,52.0,23.51661003,15.59590615,35.01219114,95.36655505,89.93466298,95.46779999,89.55025009
2014-08-26,99.55000305,99.61000061,99.26999664,99.5,20100400,73.7847326,1.0,1.0,1.0,96.89118693,2.68288247,6836600.00312635,0.03382489,0.67866959,668429600,1141344096.6591485,100.37099039,96.71299973,93.05500906,0.79146175,1.13280148,0.8458154,52.0,100.0,48.0,24.57727826,15.11734589,33.93784232,95.52865093,90.02984047,95.60979996,89.64055008
2014-08-27,99.52999878,99.63999939,99.30999756,99.51999664,15589100,73.87984824,1.0,1.0,1.0,97.19783384,2.68385277,5904475.6695978,0.07409032,0.68396176,684018700,1145595472.8000834,100.69719632,96.83999939,92.98280246,0.75850033,1.16332138,0.9093166,56.0,100.0,44.0,25.5881959,14.64755121,33.16567275,95.68517429,90.12426988,95.75119995,89.72545006
2014-08-28,99.18000031,99.52999878,99.08000183,99.41000366,23563900,72.3253832,0.92726956,0.99191884,0.97575652,94.31586015,2.66147088,4690712.91623049,-0.32464345,0.66538804,660454800,1156592385.6107714,100.97660951,97.05949974,93.14238997,0.73646437,1.16520138,0.96049355,56.0,96.0,40.0,26.06598092,16.23895973,31.71817264,95.83124603,90.21666524,95.88,89.81045006
2014-08-29,99.62999725,99.91000366,99.26999664,99.77999878,17906300,74.28536079,1.0,0.98383768,0.97575652,97.38946194,2.67100018,4967074.43775393,1.01864653,0.59810685,678361100,1167224057.7900126,101.24194609,97.31499977,93.38805346,0.72957456,1.18291095,1.00497703,64.0,100.0,36.0,26.87939346,15.22143441,33.451143,95.98609908,90.31182279,96.0173999,89.89665005
2014-09-02,100.01999664,100.09999847,99.66000366,100.06999969,18326800,75.73587561,1.0,0.97575652,0.97575652,99.3087833,2.63358819,5016747.91503001,0.69624211,0.68163415,696687900,1183051820.9222627,101.54214665,97.55249977,93.56285289,0.70889029,1.20643947,1.04526952,68.0,100.0,32.0,27.81130941,14.54660178,33.8825166,96.14625205,90.40891908,96.16339996,89.97930004
2014-09-03,100.33999634,100.33999634,99.30000305,99.48000336,25950700,67.4053785,0.40196661,0.91738952,0.80065554,78.00527229,2.59855905,2112809.93206883,-0.24045989,0.51682494,670737200,1166084128.7585816,101.62661227,97.79700012,93.96738797,0.73254051,1.16405967,1.06902755,68.0,96.0,28.0,27.93063204,16.58175915,30.44656913,96.27698739,90.49917862,96.29720001,90.05770004
2014-09-04,99.70999908,100.22000122,99.13999939,99.38999939,24663500,66.20896018,0.16919042,0.76671036,0.52371901,75.38863534,2.50617707,1493863.82075365,-0.61305004,0.38763064,646073700,1152838896.4368477,101.61660693,98.04050026,94.46439359,0.75735917,1.11041068,1.07730418,68.0,92.0,24.0,27.72240207,16.40181395,27.34534661,96.39906629,90.5876445,96.43100006,90.13485004
2014-09-05,99.54000092,99.94999695,99.02999878,99.88999939,30798200,69.45275642,0.34048757,0.54275203,0.30388153,82.49038904,2.42832368,3480326.13207456,-0.5675718,0.29277977,676871900,1179620095.3786817,101.52274007,98.32400017,95.12526027,0.76897624,1.09560979,1.0809653,68.0,88.0,20.0,27.30667197,16.02194175,25.00850414,96.53596563,90.68020525,96.56300003,90.21860004
