Date,AMZN,AAPL,MSFT,GOOGL,TSLA,NVDA,META,NFLX
2013-12-13,19.266,20.1018,37.42,26.9119,9.87,3.785,51.66,53.7357
2013-12-16,19.2515,19.8221,36.73,26.6266,9.8987,3.7575,53.25,52.8543
2013-12-17,19.5325,19.8504,36.94,26.8473,9.8387,3.7575,54.76,52.3929
2013-12-18,19.4615,19.6321,36.36,26.8231,10.1493,3.785,54.86,53.4086
2013-12-19,19.7135,19.625,36.51,27.0463,9.7933,3.825,54.33,53.4571
2013-12-20,19.8275,19.4796,36.2,27.2347,9.4387,3.8525,54.93,53.7857
2013-12-23,20.1845,20.2857,36.81,27.7237,9.6567,3.945,55.5,54.0986
2013-12-24,20.126,20.3532,36.72,27.9022,10.0,3.9675,58.27,54.3943
2013-12-26,20.0895,20.2893,37.2,27.8781,10.336,3.97,58.32,54.0157
2013-12-27,20.2325,20.1364,37.58,28.028,10.3533,3.9375,57.48,53.8729
2013-12-30,19.9705,19.9093,37.22,28.0365,10.0747,3.9425,54.93,52.5171
2013-12-31,19.729,19.7918,37.4,27.8338,10.1547,4.0,54.12,52.2143
2014-01-02,19.94,19.8457,37.35,27.9144,9.9867,3.98,54.83,52.4014
2014-01-03,19.9145,19.745,37.2,27.9029,10.0,3.9725,55.02,52.0
2014-01-06,19.7925,19.1946,36.85,27.8531,10.0,3.9575,54.42,51.89
2014-01-07,19.752,19.44,36.33,28.1532,9.8413,4.01,57.7,49.6843
2014-01-08,19.9235,19.2432,36.0,28.6787,9.9233,4.05,57.6,48.1043
2014-01-09,20.1855,19.5286,35.88,28.6146,10.1667,4.0275,58.65,48.8243
2014-01-10,20.1265,19.2796,35.9,28.5055,9.8973,3.95,57.13,48.2957
2014-01-13,19.899,18.9254,35.99,28.1899,9.7187,3.9325,57.91,47.3043
2014-01-14,19.6065,19.2221,34.73,28.4772,9.3667,3.86,56.46,48.7771
2014-01-15,19.947,19.7686,35.9,28.8536,11.23,3.9775,57.98,47.8571
2014-01-16,19.684,19.8179,36.69,28.7563,10.8333,4.0025,57.26,46.9157
2014-01-17,19.713,19.6957,36.83,28.9502,11.346,4.015,57.3,47.4386
2014-01-21,20.15,19.3211,36.82,29.0523,11.416,4.0025,56.6,47.4614
2014-01-22,20.4,19.6754,36.26,29.1944,11.854,4.02,58.85,47.0714
2014-01-23,20.05,19.6407,36.09,29.029,11.8153,3.995,56.37,55.3429
2014-01-24,19.908,19.7857,37.45,28.8041,11.8567,3.96,56.15,54.8114
2014-01-27,19.525,19.6454,36.87,28.1807,11.6773,3.89,54.73,55.3414
2014-01-28,19.37,18.17,36.12,27.7858,11.4333,3.8575,54.02,54.4743
2014-01-29,19.608,17.9982,35.98,28.006,11.6867,3.8875,54.61,57.5886
2014-01-30,19.6885,17.9479,36.79,28.6537,11.8667,3.8875,62.12,58.1571
2014-01-31,18.588,17.685,36.95,29.3131,11.9233,3.875,60.47,57.4729
2014-02-03,17.949,17.9504,37.74,29.5095,12.1927,3.9525,63.03,58.8429
2014-02-04,17.4795,18.0661,36.97,28.4782,12.0467,3.87,62.05,57.9214
2014-02-05,17.3,18.0914,36.29,28.6131,11.8867,3.8675,62.74,57.5929
2014-02-06,17.37,18.2164,35.8,28.8071,11.7533,3.865,61.46,58.06
2014-02-07,17.949,18.6207,36.32,29.22,12.0673,3.92,62.27,59.0629
2014-02-10,18.0805,18.5236,36.63,29.3243,12.6227,3.9625,64.3,61.3471
2014-02-11,18.092,18.9504,36.88,29.5338,13.2647,4.0025,63.75,61.4229
2014-02-12,17.8215,19.1768,37.35,29.7548,13.052,4.075,64.92,62.1114
2014-02-13,17.385,19.095,37.33,29.5483,12.8893,4.3125,64.18,60.8129
2014-02-14,17.967,19.3739,37.39,29.9202,13.2067,4.3,67.5,62.4371
2014-02-18,17.764,19.5,37.63,30.0653,13.6827,4.48,66.94,62.4229
2014-02-19,17.632,19.4554,37.22,30.1627,13.58,4.475,67.05,61.6671
2014-02-20,17.44,19.0354,37.57,30.1086,14.334,4.545,67.73,61.4786
2014-02-21,17.622,19.0282,37.94,30.2255,14.1093,4.6875,69.69,62.6714
2014-02-24,17.2595,18.6839,37.69,30.1642,13.9173,4.65,68.74,62.21
2014-02-25,17.65,18.9064,37.61,30.4289,15.3333,4.7,70.95,64.2857
2014-02-26,17.993,18.7004,37.58,30.6306,17.2387,4.675,70.19,65.1286
2014-02-27,17.861,18.4693,37.45,30.4902,17.4167,4.6775,69.34,63.9771
2014-02-28,18.03,18.8957,37.98,30.539,16.6433,4.6,69.47,64.7329
2014-03-03,17.937,18.6936,37.92,30.1989,15.8173,4.4925,66.96,63.0271
2014-03-04,18.195,18.9643,38.2,30.4054,17.232,4.595,68.66,64.4171
2014-03-05,18.2065,18.9614,38.25,30.4067,17.1147,4.615,69.69,64.8557
2014-03-06,18.7025,19.0282,38.14,30.5876,16.9427,4.6675,71.88,64.9914
2014-03-07,18.729,18.9675,38.28,30.7007,16.8627,4.615,71.08,64.8671
2014-03-10,18.6345,18.87,37.99,30.4227,16.18,4.575,70.77,64.0671
2014-03-11,18.5495,19.1232,37.87,30.3746,15.7667,4.545,72.5,63.2343
2014-03-12,18.32,19.0896,37.8,29.9399,15.4333,4.545,69.86,61.9543
2014-03-13,18.831,19.1943,38.42,30.229,16.2527,4.59,71.29,62.8157
2014-03-14,18.64,18.8854,37.65,29.5793,15.686,4.39,68.49,61.1043
2014-03-17,18.786,18.8464,37.9,29.5108,15.6633,4.4675,68.18,61.17
2014-03-18,18.866,18.7821,38.26,29.8966,15.7967,4.4725,68.76,60.3386
2014-03-19,18.9385,19.0093,39.47,30.3253,16.0927,4.595,69.17,59.9814
2014-03-20,18.532,18.9246,39.25,30.0288,15.744,4.615,68.01,59.9529
2014-03-21,18.55,18.9975,40.72,30.1879,15.7347,4.6825,67.53,60.8714
2014-03-24,18.0045,19.2293,40.34,29.6344,15.3167,4.6375,67.19,57.9271
2014-03-25,17.7015,19.3393,40.66,29.1792,14.9427,4.6625,64.89,54.1429
2014-03-26,17.8565,19.5186,40.48,29.0793,14.7967,4.655,64.74,53.2871
2014-03-27,17.1575,19.2864,39.74,28.2995,14.158,4.4975,60.51,53.0014
2014-03-28,17.0025,19.2257,39.79,28.003,14.1867,4.44,61.34,51.46
2014-03-31,17.12,19.2582,40.43,28.2883,14.4333,4.4825,60.78,51.6443
2014-04-01,16.9045,19.2057,41.15,28.0348,13.9347,4.62,60.46,50.25
2014-04-02,17.2995,19.3707,41.44,28.5761,14.6667,4.6625,63.21,52.2371
2014-04-03,17.091,19.3354,41.29,28.6695,15.3533,4.6425,62.55,51.6186
2014-04-04,16.7575,19.2789,41.25,28.9275,15.0673,4.7075,59.94,50.7786
2014-04-07,16.0495,18.8579,39.96,27.2395,13.7207,4.54,55.9,48.6443
2014-04-08,16.094,18.7568,39.75,27.2525,14.0033,4.5525,57.68,48.5786
2014-04-09,16.4235,18.6657,39.93,28.292,14.4507,4.7375,59.63,50.1471
2014-04-10,16.53,18.9529,40.44,28.4,14.4547,4.69,63.08,50.64
2014-04-11,15.7,18.5357,39.0,26.897,13.374,4.56,57.6,47.2571
2014-04-14,15.8835,18.6393,39.11,27.183,13.84,4.56,60.09,47.5557
2014-04-15,15.835,18.5811,39.34,27.55,13.2727,4.585,59.29,47.0114
2014-04-16,16.0585,18.5018,40.06,27.885,13.1333,4.635,59.79,47.2929
2014-04-17,15.988,18.5714,40.01,27.816,13.3073,4.605,59.3,48.1086
2014-04-21,16.1985,18.7621,40.13,27.2,13.1387,4.6425,59.46,49.9
2014-04-22,16.6,18.8682,39.96,26.8,13.7573,4.685,62.65,53.8043
2014-04-23,16.653,18.895,39.99,27.1835,14.422,4.725,63.45,51.8186
2014-04-24,16.4835,20.2932,39.74,27.0845,14.054,4.805,63.6,50.3571
2014-04-25,15.8125,20.1618,40.29,26.613,13.4667,4.805,59.97,48.2086
2014-04-28,15.2,20.4571,40.14,26.29,13.3333,4.72,58.05,45.4357
2014-04-29,14.822,21.205,41.1,26.1945,13.214,4.68,56.09,44.6057
2014-04-30,14.905,21.1657,40.4,26.756,13.5733,4.665,57.58,45.4171
2014-05-01,15.2065,21.1429,40.24,26.7125,13.8053,4.6875,60.43,46.2929
2014-05-02,15.521,21.155,40.31,27.072,13.9067,4.665,61.3,48.2157
2014-05-05,15.3185,21.0764,39.52,26.512,13.9653,4.6025,59.67,48.2957
2014-05-06,15.4765,21.4929,39.29,26.6705,14.44,4.7025,60.98,49.1029
2014-05-07,14.778,21.2589,39.22,26.1625,13.976,4.5625,58.77,46.59
2014-05-08,14.541,21.0089,39.34,25.786,12.1333,4.55,57.23,45.3086
2014-05-09,14.5285,20.8764,39.54,25.9325,11.9907,4.485,56.85,46.0114
2014-05-12,14.715,20.9818,39.74,26.592,12.258,4.5225,57.98,47.2657
2014-05-13,15.13,21.1429,39.92,26.979,12.2507,4.5825,59.66,49.2071
2014-05-14,15.125,21.1582,40.3,27.091,12.5967,4.5725,59.53,49.5786
2014-05-15,14.901,21.2393,40.09,26.657,12.6653,4.515,59.26,50.1214
2014-05-16,14.64,21.0225,39.67,26.48,12.5967,4.465,58.31,49.3529
2014-05-19,14.788,21.3518,39.61,26.444,12.7147,4.5375,57.89,49.5714
2014-05-20,14.855,21.5896,39.68,27.0,13.1293,4.615,59.5,52.1443
2014-05-21,15.1105,21.5654,39.8,27.145,13.0787,4.5775,58.56,53.5886
2014-05-22,15.2525,21.6643,40.29,27.61,13.3567,4.55,60.94,55.84
2014-05-23,15.273,21.6875,40.37,27.9065,13.6353,4.605,60.41,55.9486
2014-05-27,15.7205,21.9957,40.26,28.389,13.9013,4.65,61.62,57.4286
2014-05-28,15.475,22.3579,40.14,28.7285,14.0013,4.7225,63.39,56.7429
2014-05-29,15.521,22.4232,40.15,28.6695,14.038,4.7425,63.84,57.6286
2014-05-30,15.7215,22.785,40.45,28.582,14.02,4.7375,63.95,59.3114
2014-06-02,15.6295,22.6414,40.95,28.4875,13.822,4.765,63.23,59.9257
2014-06-03,15.2875,22.445,40.6,28.045,13.566,4.745,62.62,59.9986
2014-06-04,15.3425,22.7657,40.21,27.576,13.6233,4.7025,62.45,59.5371
2014-06-05,15.405,23.0786,40.59,27.8555,13.6313,4.7275,63.66,60.5357
2014-06-06,16.25,23.2107,41.48,28.408,13.9833,4.7625,63.37,61.43
2014-06-09,16.5785,23.175,41.39,28.3375,13.8633,4.7525,62.4,61.3571
2014-06-10,16.3825,23.6825,41.03,28.439,13.6287,4.745,63.53,60.7886
2014-06-11,16.8,23.5325,40.93,28.296,13.4333,4.77,65.32,60.7471
2014-06-12,16.7775,23.51,40.81,28.35,13.6733,4.85,65.85,61.2957
2014-06-13,16.3525,23.05,41.1,28.004,13.652,4.93,64.7,60.4286
2014-06-16,16.243,22.8775,41.04,27.8625,13.784,4.8625,64.16,60.9329
2014-06-17,16.377,23.0775,41.29,27.618,14.9407,4.875,64.1,62.5771
2014-06-18,16.4,23.0675,41.61,27.64,15.4333,4.89,64.49,63.3814
2014-06-19,16.763,23.0725,41.57,28.0575,15.2587,4.8075,65.46,64.2043
2014-06-20,16.388,22.9625,41.45,28.3225,15.2347,4.7975,64.46,63.0286
2014-06-23,16.1665,22.83,41.73,28.2175,15.3007,4.67,64.32,62.7657
2014-06-24,16.377,22.6875,41.83,28.711,15.9313,4.67,65.36,62.5786
2014-06-25,16.2165,22.5525,41.7,28.6775,15.5367,4.6175,65.58,62.1429
2014-06-26,16.4245,22.5925,41.93,29.465,15.8113,4.6525,68.0,62.97
